RLN,CCC,Mtons,Stons,Sqft
0JXC,R1D,50,9,188
0KFA,J2D,50,11.5,259
0KFA,J3B,91,31,532
0KFA,R1D,21879,4506.899902,86267
0KFA,R2B,162,34.700001,1375
0KFA,R2D,907,265.399994,4994
0KFA,R3D,10,1.4,50
0KFBC,A1D,1943.699951,1218,8237
0KFBC,A2D,3347.300293,1640.599976,16223
0KFBC,J2D,17.700001,2.2,101
0KFBC,J7C,340,135.800003,2716
0KFBC,M7C,4,4.4,1
0KFBC,R1D,1716.5,469,7779
0KFBC,R2B,530.5,97.400002,4383
0KFBC,R2D,2561.899902,673.700012,15124
0KFBC,R3B,22.200001,2.4,240
0KFBC,R3D,9.3,1.4,50
0KGA,J2D,50,11.5,259
0KGA,J3B,91,31,532
0KGA,R1D,21879,4506.899902,86267
0KGA,R2B,162,34.700001,1375
0KGA,R2D,907,265.399994,4994
0KGA,R3D,10,1.4,50
0KGBC,J2D,17.700001,2.3,101
0KGBC,J7C,71,28.200001,564
0KGBC,M7C,2,1.6,32
0KGBC,R1D,2715.300049,685.299988,12280
0KGBC,R2B,9.9,0.9,70
0KGBC,R2D,3393.999756,443.799988,15984
0KGBC,R3D,9.3,1.4,50
0KHA,J2D,50,11.5,259
0KHA,J3B,91,31,532
0KHA,R1D,21879,4506.899902,86267
0KHA,R2B,162,34.700001,1375
0KHA,R2D,907,265.399994,4994
0KHA,R3D,10,1.4,50
0LAA,J7C,151,60.5,1210
0LAA,R2B,127,26,1137
0LAA,R2D,89,19.799999,531
0LBGC,A1D,83.400002,55.099998,323
0LBGC,A2D,642.100037,271.200012,3367
0LBGC,J7C,46,18.4,368
0LBGC,M7C,3,2.7,54
0LBGC,R1D,229.600006,75.599998,1036
0LBGC,R2B,9.9,0.9,70
0LBGC,R2D,560.099976,159.300003,3130
0LBGC,R3D,9.3,1.4,50
0MAAC,J2D,17.700001,2.3,101
0MAAC,J7C,71,28.200001,564
0MAAC,M7C,2,1.6,32
0MAAC,R1D,2715.300049,685.299988,12280
0MAAC,R2B,9.9,0.9,70
0MAAC,R2D,3393.999756,443.799988,15984
0MAAC,R3D,9.3,1.4,50
0MBDC,J2D,17.700001,2.3,101
0MBDC,J7C,70,28,560
0MBDC,M7C,1,1,20
0MBDC,R1D,2984.699951,599.900024,12219
0MBDC,R2B,9.9,0.9,70
0MBDC,R2D,7839.899902,1219.5,40736
0MBDC,R3D,9.3,1.4,50
0MBKC,J2D,17.700001,2.3,101
0MBKC,J7C,70,28,560
0MBKC,M7C,1,1,20
0MBKC,R1D,2984.699951,599.900024,12219
0MBKC,R2B,9.9,0.9,70
0MBKC,R2D,7839.899902,1219.5,40736
0MBKC,R3D,9.3,1.4,50
0NACC,J2D,96,23,480
0NACC,J7C,46,18.200001,364
0NACC,M7C,1,0.4,1
0NACC,R1D,280.399994,92.599998,1227
0NACC,R2B,19.799999,1.8,140
0NACC,R2D,370.600006,68.900002,2482
0QAAC,A1D,234,68.400002,972
0QAAC,A2B,15.2,4.9,91
0QAAC,A2D,1431.600098,581.099976,7047
0QAAC,J2D,40.5,16.200001,387
0QAAC,J3B,145.800003,11.7,1044
0QAAC,J7C,240,96,1920
0QAAC,M7C,2,1.9,38
0QAAC,R1D,3820.099854,1269.800049,17126
0QAAC,R2B,192.799988,23.9,1400
0QAAC,R2D,4057.300293,758.5,24901
0QAAC,R3D,37.200001,5.6,200
0QAEC,A1D,188.399994,57.400002,606
0QAEC,A2D,1575.199951,577.900024,7922
0QAEC,A3B,6.3,2.5,45
0QAEC,J2B,16.800001,4,262
0QAEC,J7C,324,129.699997,2594
0QAEC,M7C,7,6.9,1
0QAEC,R1D,423.299988,99.300003,1607
0QAEC,R2B,653.399963,98.400002,4895
0QAEC,R2D,5298.400391,1502.599976,30874
0QAEC,R3B,10.5,1.5,105
0QAEC,R3D,46.5,7,250
0QAFC,A1D,234,68.400002,972
0QAFC,A2B,15.2,4.9,91
0QAFC,A2D,1431.600098,581.099976,7047
0QAFC,J2D,40.5,16.200001,387
0QAFC,J3B,145.800003,11.7,1044
0QAFC,J7C,240,96,1920
0QAFC,M7C,2,1.9,38
0QAFC,R1D,3820.099854,1269.800049,17126
0QAFC,R2B,192.799988,23.9,1400
0QAFC,R2D,4057.300293,758.5,24901
0QAFC,R3D,37.200001,5.6,200
0QBJ,J3C,1,0.1,2
0QBJ,J7C,1,0.3,6
0QBJ,M7C,1,0.1,1
0QBJ,R2D,36,7.1,176
0TABC,J1D,88,2.2,385
0TABC,J2D,17.700001,2.3,101
0TABC,J7C,241,96.199997,1924
0TABC,M7C,3,2.2,1
0TABC,R1D,2983.800049,948.599976,13492
0TABC,R2B,168.299988,15.3,1190
0TABC,R2D,3190.900146,583.200012,21458
0TABC,R3D,9.3,1.4,50
0TAE1,A2D,145,57.299999,668
0TAE1,J3C,11,1.8,66
0TAE1,R1D,546,234,4680
0TAE1,R2B,142,41.700001,1198
0TAE1,R2D,45,21,470
0TAEC,A1D,52,25.700001,219
0TAEC,A2D,1122,498.600006,5211
0TAEC,J2B,188,124.599998,2720
0TAEC,J7C,187,74.800003,1496
0TAEC,M7C,5,4.5,1
0TAEC,R2B,1000,183.399994,8614
0TAEC,R2D,5560,1647.5,32084
0TAEC,R3B,4,0.6,42
0TAEC,R3D,9,1.4,50
0YADC,J1D,64,1.6,280
0YADC,J7C,49,19.6,392
0YADC,M7C,1,0.1,2
0YADC,R1D,282.299988,99.099998,1279
0YADC,R2B,29.699999,2.7,210
0YADC,R2D,605.399963,132.199997,4719
0YADC,R3D,9.3,1.4,50
0YAFC,J1D,80,2,350
0YAFC,J2D,17.700001,2.3,101
0YAFC,J7C,186,74.300003,1486
0YAFC,M7C,1,0.4,8
0YAFC,R1D,1007.299988,368,4555
0YAFC,R2B,81.299995,10.3,599
0YAFC,R2D,2175.199951,482,16379
0YAFC,R3D,9.3,1.4,50
0YBAC,J7C,39,15.6,312
0YBAC,M7C,1,0.6,12
0YBAC,R1D,37.5,12.7,170
0YBAC,R2B,15.4,3.4,91
0YBAC,R2D,471.100037,101.199997,3270
0YBBC,J7C,39,15.6,312
0YBBC,M7C,1,0.6,12
0YBBC,R1D,37.5,12.7,170
0YBBC,R2B,15.4,3.4,91
0YBBC,R2D,471.100037,101.199997,3270
0YBCC,A2B,15.2,4.9,91
0YBCC,A2D,421.299988,182.199997,2009
0YBCC,J2D,31.200001,7.7,230
0YBCC,J3B,19.200001,1.2,132
0YBCC,J7C,64,25.4,508
0YBCC,M7C,1,0.5,10
0YBCC,R1D,942.400024,302,4264
0YBCC,R2B,50.399998,5.6,313
0YBCC,R2D,1440.499878,238,9055
0YBCC,R3D,9.3,1.4,50
0YC C,J7C,35,14.1,282
0YC C,M7C,1,0.2,1
0YC C,R1D,154,43.200001,695
0YC C,R2B,271,68.900002,2299
0YC C,R2D,150,14.8,1129
0YC C,R3D,10,1.4,50
0YCAC,J1D,16,0.4,70
0YCAC,J7C,280,111.699997,2234
0YCAC,M7C,4,3.4,68
0YCAC,R1D,600,204,2720
0YCAC,R2B,19.799999,1.8,140
0YCAC,R2D,1618.699951,409.600006,11255
0YCBC,J1D,16,0.4,70
0YCBC,J7C,280,111.699997,2234
0YCBC,M7C,4,3.4,68
0YCBC,R1D,600,204,2720
0YCBC,R2B,19.799999,1.8,140
0YCBC,R2D,1618.699951,409.600006,11255
0YCCC,J1D,16,0.4,70
0YCCC,J7C,280,111.699997,2234
0YCCC,M7C,4,3.4,68
0YCCC,R1D,600,204,2720
0YCCC,R2B,19.799999,1.8,140
0YCCC,R2D,1618.699951,409.600006,11255
0ZABC,B2D,311,10.2,1449
0ZABC,J7C,120,48.099998,962
0ZABC,R2B,549,122.199997,4982
0ZABC,R2D,879,165.300003,5372
0ZHCC,A1D,4604.400391,4187.399902,19466
0ZHCC,A2D,710,363.399994,3919
0ZHCC,J2D,177.699997,58.700001,901
0ZHCC,J3D,92.400002,29.4,462
0ZHCC,J7C,262,104.800003,2096
0ZHCC,M7C,38,37.200001,744
0ZHCC,R1D,1599.800049,619.900024,7005
0ZHCC,R2B,29.699999,2.7,210
0ZHCC,R2D,3406.699951,1008.599976,19047
0ZHCC,R3B,22.200001,2.4,240
0ZHCC,R3D,9.3,1.4,50
0ZHFC,A1D,4604.400391,4187.399902,19466
0ZHFC,A2D,710,363.399994,3919
0ZHFC,J2D,177.699997,58.700001,901
0ZHFC,J3D,92.400002,29.4,462
0ZHFC,J7C,262,104.800003,2096
0ZHFC,M7C,38,37.200001,744
0ZHFC,R1D,1599.800049,619.900024,7005
0ZHFC,R2B,29.699999,2.7,210
0ZHFC,R2D,3406.699951,1008.599976,19047
0ZHFC,R3B,22.200001,2.4,240
0ZHFC,R3D,9.3,1.4,50
5CCAB,D2D,9.9,1.4,64
5CCAB,J3D,20.1,2.8,132
5CCAD,D2D,9.9,1.4,64
5CCAD,J3D,20.1,2.8,132
5CCAU,D2D,9.9,1.4,64
5CCAU,J3D,20.1,2.8,132
5CCAV,D2D,9.9,1.4,64
5CCAV,J3D,20.1,2.8,132
5HDC9,D3D,8.4,3,66
5NMH1,J3D,10,8.1,198
