RLN,Category,Mtons,Stons
0KFA,BLK,101,32.400002
0KFA,NAT,0,0
0KFA,OUT,21879,4506.899902
0KFA,OVR,1119,311.600006
0KFBC,BLK,375.5,144
0KFBC,OUT,3660.199951,1687
0KFBC,OVR,6457.400391,2413.899902
0KFBP,BLK,0,0
0KFBP,NAT,0,0
0KFBP,OUT,0,0
0KFBP,OVR,0,0
0KGA,BLK,101,32.400002
0KGA,NAT,0,0
0KGA,OUT,21879,4506.899902
0KGA,OVR,1119,311.600006
0KGBC,BLK,82.300003,31.200001
0KGBC,OUT,2715.300049,685.299988
0KGBC,OVR,3421.599854,447
0KGBP,BLK,0,0
0KGBP,NAT,0,0
0KGBP,OUT,0,0
0KGBP,OVR,0,0
0KHA,BLK,101,32.400002
0KHA,NAT,0,0
0KHA,OUT,21879,4506.899902
0KHA,OVR,1119,311.600006
0LAA,BLK,151,60.5
0LAA,NAT,0,0
0LAA,OUT,0,0
0LAA,OVR,216,45.799999
0LAB,BLK,0,0
0LAB,NAT,0,0
0LAB,OUT,0,0
0LAB,OVR,0,0
0LBGC,BLK,58.299999,22.5
0LBGC,OUT,313,130.699997
0LBGC,OVR,1212.100098,431.399994
0LBGP,BLK,0,0
0LBGP,NAT,0,0
0LBGP,OUT,0,0
0LBGP,OVR,0,0
0MAAC,BLK,82.300003,31.200001
0MAAC,OUT,2715.300049,685.299988
0MAAC,OVR,3421.599854,447
0MAAP,BLK,0,0
0MAAP,NAT,0,0
0MAAP,OUT,0,0
0MAAP,OVR,0,0
0MBDC,BLK,80.300003,30.4
0MBDC,OUT,2984.699951,599.900024
0MBDC,OVR,7867.5,1222.699951
0MBDP,BLK,0,0
0MBDP,NAT,0,0
0MBDP,OUT,0,0
0MBDP,OVR,0,0
0MBKC,BLK,80.300003,30.4
0MBKC,OUT,2984.699951,599.900024
0MBKC,OVR,7867.5,1222.699951
0MBKP,BLK,0,0
0MBKP,NAT,0,0
0MBKP,OUT,0,0
0MBKP,OVR,0,0
0NACC,BLK,47,18.6
0NACC,OUT,280.399994,92.599998
0NACC,OVR,486.400024,93.699997
0NACP,BLK,0,0
0NACP,NAT,0,0
0NACP,OUT,0,0
0NACP,OVR,0,0
0QAAC,BLK,425,115.199997
0QAAC,OUT,4054.099854,1338.199951
0QAAC,OVR,5737.400391,1384.599976
0QAAP,BLK,0,0
0QAAP,NAT,0,0
0QAAP,OUT,0,0
0QAAP,OVR,0,0
0QAEC,BLK,394.299988,147.600006
0QAEC,OUT,611.699951,156.699997
0QAEC,OVR,7543.800293,2182.899902
0QAEP,BLK,0,0
0QAEP,NAT,0,0
0QAEP,OUT,0,0
0QAEP,OVR,0,0
0QAFC,BLK,425,115.199997
0QAFC,OUT,4054.099854,1338.199951
0QAFC,OVR,5737.400391,1384.599976
0QAFP,BLK,0,0
0QAFP,NAT,0,0
0QAFP,OUT,0,0
0QAFP,OVR,0,0
0QBJ,BLK,3,0.5
0QBJ,NAT,0,0
0QBJ,OUT,0,0
0QBJ,OVR,36,7.1
0RAAC,BLK,216,87.5
0RAAC,NAT,0,0
0RAAC,OUT,60,19.1
0RAAC,OVR,6299,1077.900024
0RAAP,BLK,0,0
0RAAP,NAT,0,0
0RAAP,OUT,0,0
0RAAP,OVR,0,0
0TABC,BLK,253.300003,99.800003
0TABC,OUT,3071.800049,950.799988
0TABC,OVR,3376.900146,600.799988
0TABP,BLK,0,0
0TABP,NAT,0,0
0TABP,OUT,0,0
0TABP,OVR,0,0
0TAE1,BLK,11,1.8
0TAE1,NAT,0,0
0TAE1,OUT,546,234
0TAE1,OVR,332,120
0TAEC,BLK,205,81.300003
0TAEC,NAT,0,0
0TAEC,OUT,52,25.700001
0TAEC,OVR,7870,2454.100098
0TAEP,BLK,0,0
0TAEP,NAT,0,0
0TAEP,OUT,0,0
0TAEP,OVR,0,0
0VAAC,BLK,28,10.9
0VAAC,NAT,0,0
0VAAC,OUT,0,0
0VAAC,OVR,325,70.099998
0VAAP,BLK,0,0
0VAAP,NAT,0,0
0VAAP,OUT,0,0
0VAAP,OVR,0,0
0VABC,BLK,167,65.599998
0VABC,NAT,0,0
0VABC,OUT,382,95.900002
0VABC,OVR,2710,670.200012
0VABP,BLK,0,0
0VABP,NAT,0,0
0VABP,OUT,0,0
0VABP,OVR,0,0
0YABC,BLK,43,12.2
0YABC,NAT,0,0
0YABC,OUT,2249,471.399994
0YABC,OVR,2667,498.600006
0YABP,BLK,0,0
0YABP,NAT,0,0
0YABP,OUT,0,0
0YABP,OVR,0,0
0YACC,BLK,126,49.400002
0YACC,NAT,0,0
0YACC,OUT,0,0
0YACC,OVR,3437,384.399994
0YACP,BLK,0,0
0YACP,NAT,0,0
0YACP,OUT,0,0
0YACP,OVR,0,0
0YADC,BLK,59.299999,21.1
0YADC,OUT,346.299988,100.699997
0YADC,OVR,635.099976,134.899994
0YADP,BLK,0,0
0YADP,NAT,0,0
0YADP,OUT,0,0
0YADP,OVR,0,0
0YAFC,BLK,196.300003,76.099998
0YAFC,OUT,1087.300049,370
0YAFC,OVR,2274.199951,494.600006
0YAFP,BLK,0,0
0YAFP,NAT,0,0
0YAFP,OUT,0,0
0YAFP,OVR,0,0
0YB C,BLK,30,11.8
0YB C,NAT,0,0
0YB C,OUT,0,0
0YB C,OVR,199,39.799999
0YB P,BLK,0,0
0YB P,NAT,0,0
0YB P,OUT,0,0
0YB P,OVR,0,0
0YB3C,BLK,85,34.599998
0YB3C,NAT,0,0
0YB3C,OUT,0,0
0YB3C,OVR,1318,242.800003
0YB3P,BLK,0,0
0YB3P,NAT,0,0
0YB3P,OUT,0,0
0YB3P,OVR,0,0
0YB4C,BLK,47,18.700001
0YB4C,NAT,0,0
0YB4C,OUT,60,19.1
0YB4C,OVR,716,132.399994
0YB4P,BLK,0,0
0YB4P,NAT,0,0
0YB4P,OUT,0,0
0YB4P,OVR,0,0
0YBAC,BLK,40,16.200001
0YBAC,OUT,37.5,12.7
0YBAC,OVR,486.500031,104.599998
0YBAP,BLK,0,0
0YBAP,NAT,0,0
0YBAP,OUT,0,0
0YBAP,OVR,0,0
0YBBC,BLK,40,16.200001
0YBBC,OUT,37.5,12.7
0YBBC,OVR,486.500031,104.599998
0YBBP,BLK,0,0
0YBBP,NAT,0,0
0YBBP,OUT,0,0
0YBBP,OVR,0,0
0YBCC,BLK,93.5,28.5
0YBCC,OUT,942.400024,302
0YBCC,OVR,1958.599854,438.399994
0YBCP,BLK,0,0
0YBCP,NAT,0,0
0YBCP,OUT,0,0
0YBCP,OVR,0,0
0YBDC,BLK,27,10.6
0YBDC,NAT,0,0
0YBDC,OUT,0,0
0YBDC,OVR,582,120.300003
0YBDP,BLK,0,0
0YBDP,NAT,0,0
0YBDP,OUT,0,0
0YBDP,OVR,0,0
0YBEC,BLK,27,10.6
0YBEC,NAT,0,0
0YBEC,OUT,0,0
0YBEC,OVR,582,120.300003
0YBEP,BLK,0,0
0YBEP,NAT,0,0
0YBEP,OUT,0,0
0YBEP,OVR,0,0
0YBFC,BLK,70,28.1
0YBFC,NAT,0,0
0YBFC,OUT,0,0
0YBFC,OVR,1188,253.800003
0YBFP,BLK,0,0
0YBFP,NAT,0,0
0YBFP,OUT,0,0
0YBFP,OVR,0,0
0YBKC,BLK,33,13.5
