RLN,CCC,Mtons,Stons,Sqft,NumPieces,Length,Width,Height,Description,LongDescription,DodicId,HazardDivision,StorageCompatibilityGroup,NetExplosivePounds
03AUC,R2B,9.9,0.9,70,3,146,69,68,L63994LIGHT SE,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,31.1,2.8,161,4,254,91,93,K28601KITCHEN,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,21.200001,4.3,109,1,171,92,93,L28351KITCHEN,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,19.799999,2.7,99,2,168,85,96,T00474SHELTER,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,59.799999,29.6,284,5,401,102,101,T39518TRUCK CA,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,59.799999,26.200001,284,10,401,102,101,T59278TRUCK CG,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,12.5,2.8,108,30,180,86,56,T61494TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,13,2.9,111,1,186,86,56,T61562TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,60.5,21.799999,285,1,402,102,102,T63093TRUCK WR,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,56.299999,19.299999,267,16,401,96,101,T87243TRK TANK,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,17.6,3.5,114,5,191,86,74,T92242TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,17.1,3.3,111,5,186,86,74,T92310TRK UTIL,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,26.200001,4.8,153,1,230,96,82,T95555TRLR CGO,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,8.8,0.9,81,4,136,86,52,T95992TRL CGO,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,23,3.6,140,19,210,96,79,T96564TRLR CGO,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,18.5,1.6,96,1,166,83,93,V19950TK UNIT,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,24.1,3.7,119,1,179,96,97,W48391WLD SHOP,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,19.4,2.1,111,8,163,98,84,W98825TRLR TK,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,30.5,7.1,177,2,265,96,83,X40009TRK CARG,,Default*,ONE_PNT_ONE,A,0
03AUC,R2D,44.5,13.1,209,1,314,96,102,Z94047TRUCK TA,,Default*,ONE_PNT_ONE,A,0
03AUC,R3B,3.7,0.4,40,6,95,60,45,M68405MORTAR 1,,Default*,ONE_PNT_ONE,A,0
03AUC,R3D,9.3,1.4,50,1,100,72,89,C32887CLEANER,,Default*,ONE_PNT_ONE,A,0
04DDC,J2D,17.700001,2.3,101,1,167,87,84,W32730SHOP EQU,,Default*,ONE_PNT_ONE,A,0
04DDC,R1D,37.200001,12.9,169,2,253,96,106,T60081TRK CARG,,Default*,ONE_PNT_ONE,A,0
04DDC,R1D,37.200001,12.9,169,1,253,96,106,T60149TRK CARG,,Default*,ONE_PNT_ONE,A,0
04DDC,R1D,47.099998,9.2,192,61,276,100,118,T61103TRUCK TR,,Default*,ONE_PNT_ONE,A,0
04DDC,R2B,9.9,0.9,70,1,146,69,68,L63994LIGHT SE,,Default*,ONE_PNT_ONE,A,0
04DDC,R2D,4.4,1.5,67,1,103,93,32,F60598FIFTH WH,,Default*,ONE_PNT_ONE,A,0
04DDC,R2D,21.200001,4.3,109,1,171,92,93,L28351KITCHEN,,Default*,ONE_PNT_ONE,A,0
04DDC,R2D,63.299999,9.7,327,120,490,96,93,S70159STLR FLA,,Default*,ONE_PNT_ONE,A,0
04DDC,R2D,52.900002,8.2,244,1,366,96,104,S73372STLR TAN,,Default*,ONE_PNT_ONE,A,0
04DDC,R2D,12.5,2.8,108,5,180,86,56,T61494TRK UTIL,,Default*,ONE_PNT_ONE,A,0
04DDC,R2D,60.5,21.799999,285,1,402,102,102,T63093TRUCK WR,,Default*,ONE_PNT_ONE,A,0
04DDC,R2D,23,3.6,140,1,210,96,79,T96564TRLR CGO,,Default*,ONE_PNT_ONE,A,0
04DDC,R2D,19.4,2.1,111,1,163,98,84,W98825TRLR TK,,Default*,ONE_PNT_ONE,A,0
