ScenarioName,Rln,CargoId,Location,FromLocation,ToLocation,Ccc,Mode,ClosureTimePeriod,Rdd,CloseDay,Cargo,Pax,Pol,AirStons,Bulk,Over,Out,AirPax,SeaStons,Area,Vol,Cntr,SeaPax,SeaPol
metadata-scenario,1:00GF,1:00GF.J7C0002,OPA1,APFD,OPA1,J7C,ROAD,3 - 5 Days Late,25,28,1.2000007629394531,0,0.0,0.0,0.0,0.0,0.0,0,1.2000007629394531,1.2000007629394531,0.0,0.0,0,0.0
metadata-scenario,1:00HB,1:00HB.J3C0002,WSVC,FUQN,WSVC,J3C,ROAD,1 - 2 Days Late,18,20,0.9000000953674316,0,0.0,0.9000000953674316,0.9000000953674316,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:00DEC,1:00DEC.R1D0001,WSVC,HNTS,WSVC,R1D,ROAD,6 - 9 Days Late,26,32,7.699999809265137,0,0.0,0.0,0.0,0.0,0.0,0,7.699999809265137,7.699999809265137,0.0,0.0,0,0.0
metadata-scenario,1:03AKC,1:03AKC.R1D0003,NWXN,VKNP,NWXN,R1D,ROAD,Early,34,33,53.39999771118164,0,0.0,0.0,0.0,0.0,0.0,0,53.39999771118164,53.39999771118164,0.0,0.0,0,0.0
metadata-scenario,1:0ZCB,1:0ZCB.R2D0001,BQWK,VKNP,BQWK,R2D,ROAD,3 - 5 Days Late,28,31,355.0,0,0.0,0.0,0.0,0.0,0.0,0,355.0,355.0,0.0,0.0,0,0.0
metadata-scenario,1:0QAAC,1:0QAAC.R2D0018,WSVC,HNTS,WSVC,R2D,ROAD,10+ Days Late,26,37,50.39999866485596,0,0.0,0.0,0.0,0.0,0.0,0,50.39999866485596,50.39999866485596,0.0,0.0,0,0.0
metadata-scenario,1:00HDC,1:00HDC.J3C0002,WSVC,HNTS,WSVC,J3C,ROAD,6 - 9 Days Late,18,26,0.899999737739563,0,0.0,0.0,0.0,0.0,0.0,0,0.899999737739563,0.899999737739563,0.0,0.0,0,0.0
metadata-scenario,1:00FL,1:00FL.J7C0002,WSVC,FUQN,WSVC,J7C,ROAD,1 - 2 Days Late,17,19,0.5,0,0.0,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0YBMC,1:0YBMC.R1D0002,WSVC,VKNP,WSVC,R1D,ROAD,6 - 9 Days Late,37,46,11.299999237060547,0,0.0,0.0,0.0,0.0,0.0,0,11.299999237060547,11.299999237060547,0.0,0.0,0,0.0
metadata-scenario,1:0YCBC,1:0YCBC.R2D0010,WSVC,HNTS,WSVC,R2D,ROAD,10+ Days Late,37,49,22.799999713897705,0,0.0,0.0,0.0,0.0,0.0,0,22.799999713897705,22.799999713897705,0.0,0.0,0,0.0
metadata-scenario,1:0HBGC,1:0HBGC.R2D0002,APFD,APFD,APFD,R2D,NONE,3 - 5 Days Late,22,26,9.399999618530273,0,0.0,0.0,0.0,0.0,0.0,0,9.399999618530273,9.399999618530273,0.0,0.0,0,0.0
metadata-scenario,1:0EBRC,1:0EBRC.A2D0001,HPBF,HNTS,HPBF,A2D,ROAD,Early,32,31,58.79999923706055,0,0.0,0.0,0.0,0.0,0.0,0,58.79999923706055,58.79999923706055,0.0,0.0,0,0.0
metadata-scenario,1:03AUC,1:03AUC.R1D0003,NWXN,VKNP,NWXN,R1D,ROAD,6 - 9 Days Late,34,42,53.39999771118164,0,0.0,0.0,0.0,0.0,0.0,0,53.39999771118164,53.39999771118164,0.0,0.0,0,0.0
metadata-scenario,1:03AJC,1:03AJC.R2D0005,NWXN,VKNP,NWXN,R2D,ROAD,On Time,34,34,262.00000762939453,0,0.0,0.0,0.0,0.0,0.0,0,262.00000762939453,262.00000762939453,0.0,0.0,0,0.0
metadata-scenario,1:00FC,1:00FC.PAX,WSVC,FUQN,WSVC,PAX,ROAD,10+ Days Late,27,51,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:03AKC,1:03AKC.R1D0005,NWXN,VKNP,NWXN,R1D,ROAD,Early,34,33,64.49999809265137,0,0.0,0.0,0.0,0.0,0.0,0,64.49999809265137,64.49999809265137,0.0,0.0,0,0.0
metadata-scenario,1:0MBKC,1:0MBKC.J7C0002,HNTM,HNTS,HNTM,J7C,ROAD,10+ Days Late,24,40,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0,0.0
metadata-scenario,1:0ZACD,1:0ZACD.PAX,WSVC,FUQN,WSVC,PAX,ROAD,10+ Days Late,33,68,0.0,355,0.0,0.0,0.0,0.0,0.0,355,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0EBRC,1:0EBRC.R2D0003,HPBF,HNTS,HPBF,R2D,ROAD,On Time,32,32,8.100000143051147,0,0.0,0.0,0.0,0.0,0.0,0,8.100000143051147,8.100000143051147,0.0,0.0,0,0.0
metadata-scenario,1:0DBDC,1:0DBDC.J2D0005,HPBF,HNTS,HPBF,J2D,ROAD,On Time,30,30,2.299999952316284,0,0.0,0.0,0.0,0.0,0.0,0,2.299999952316284,2.299999952316284,0.0,0.0,0,0.0
metadata-scenario,1:0QAEC,1:0QAEC.R2D0014,HPBF,VKNP,HPBF,R2D,ROAD,3 - 5 Days Late,32,35,3.700000047683716,0,0.0,0.0,0.0,0.0,0.0,0,3.700000047683716,3.700000047683716,0.0,0.0,0,0.0
metadata-scenario,1:FR00023,1:FR00023.JCD0002,HNTM,HNTK,HNTM,JCD,ROAD,1 - 2 Days Late,31,33,4.0,0,0.0,4.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0DBDC,1:0DBDC.R2D0003,HPBF,HNTS,HPBF,R2D,ROAD,Early,30,29,23.99999988079071,0,0.0,0.0,0.0,0.0,0.0,0,23.99999988079071,23.99999988079071,0.0,0.0,0,0.0
metadata-scenario,1:00GHA,1:00GHA.PAX,WSVC,FUQN,WSVC,PAX,ROAD,1 - 2 Days Late,25,26,0.0,63,0.0,0.0,0.0,0.0,0.0,63,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0YAFC,1:0YAFC.R2D0008,WSVC,HNTS,WSVC,R2D,ROAD,6 - 9 Days Late,26,34,49.5,0,0.0,0.0,0.0,0.0,0.0,0,49.5,49.5,0.0,0.0,0,0.0
