pool_num,node_name,is_from_node
4,ADQM,1
4,GAFH,1
4,UWLL,1
4,EUFM,1
4,XDAT,1
4,RZQH,1
4,LEXN,1
4,TDKA,1
4,EAPD,1
4,EGNF,1
4,TEWJ,1
4,USTK,1
4,NSAN,1
4,GLEN,1
4,XCQN,1
4,VFHY,1
4,WJAP,1
4,KHSH,1
4,GRRY,1
4,XHDV,1
4,USZV,1
4,UTRY,1
4,HUUA,1
4,VTNB,1
4,UCTL,1
4,ADNR,1
4,ADNK,1
4,YZJU,1
4,HJMC,1
4,LPNH,1
4,UTLY,1
4,SWUM,1
4,NPTR,1
4,NRZE,1
4,NGWV,1
4,EDUG,1
4,ADNC,1
4,EDWC,1
4,UTBR,1
4,TDHV,1
4,JHVQ,1
4,VKSB,1
4,KJGW,1
4,VHRJ,1
4,SCEY,1
4,FBNV,1
4,BASD,1
4,KWRD,1
4,AUSJ,1
4,UUPL,1
4,MWRJ,1
4,XKZB,1
4,NRTX,1
4,PRYV,1
4,AYDK,1
4,ADNG,1
4,EGNA,1
4,SKKA,1
4,UTBL,1
4,SVNY,1
4,NTNB,1
4,VRVB,1
4,VZQN,1
4,ZRBF,1
4,USTE,1
4,CTCN,1
4,NSAB,1
4,GLZN,1
4,UTAR,1
4,FUTD,1
4,XQPZ,1
4,USUL,1
4,XHEA,1
4,EUHB,1
4,UTZU,1
4,TKVP,1
4,KHST,1
4,HFVZ,1
4,RZMK,1
4,KJGR,1
4,USZD,1
4,NSAG,1
4,RZMJ,1
4,RZJQ,1
4,NEWR,1
5,VYTD,1
5,STDF,1
5,TSDG,1
5,SNKA,1
5,AVPN,1
5,PAJP,1
5,QJKL,1
5,VZDE,1
5,VUKL,1
5,MMUL,1
5,VZBT,1
5,HGLC,1
5,ZFNU,1
5,XUDT,1
5,AYER,1
5,MMQR,1
5,LKPE,1
5,FMLH,1
5,DUHW,1
5,BXRH,1
5,VSTN,1
5,FMKT,1
5,VFTA,1
5,LUXC,1
5,JZSU,1
5,TZHY,1
5,CSJF,1
5,PQWY,1
5,WPVJ,1
5,QFNM,1
5,TQKG,1
5,WHAH,1
5,AHWQ,1
5,VVYR,1
5,GXTN,1
5,VYNX,1
5,TQJF,1
5,SEDH,1
5,AVPV,1
5,VFVN,1
5,SWZZ,1
5,GGNF,1
5,MDYH,1
5,MDYA,1
5,URPB,1
5,SJZQ,1
5,VFVD,1
5,VZCD,1
5,JVZQ,1
5,BSEM,1
5,YVPG,1
5,CHEV,1
5,MBLS,1
5,VFZM,1
5,EUFG,1
5,QJVZ,1
5,JKSB,1
5,ETRB,1
5,FLUP,1
5,UGCF,1
5,PSBE,1
5,ZLJS,1
5,FXBM,1
5,FMKZ,1
5,XUEX,1
5,CMHF,1
5,AMVP,1
5,TUJL,1
5,NXBY,1
5,QJVF,1
5,CWWK,1
5,VSTP,1
5,GCCW,1
5,KXPD,1
5,BRAE,1
5,CZJF,1
5,LGAA,1
5,XUDN,1
5,WYYD,1
5,XLEW,1
5,BQKY,1
5,ZLJP,1
5,JFSD,1
5,LKPF,1
5,WMWC,1
5,EKWU,1
5,JEGW,1
5,VZCR,1
5,BSEH,1
5,NZAS,1
5,ZLJW,1
5,QJKS,1
5,VFXM,1
5,TQJG,1
5,VFUL,1
5,TQJX,1
5,EUFN,1
5,BXRM,1
5,ETMB,1
5,AVPR,1
5,TPSL,1
5,KKGA,1
5,CBEF,1
5,QJNT,1
5,KSRM,1
5,VFTE,1
5,JKSE,1
5,WPVT,1
5,TQKD,1
5,YNEF,1
5,GATE,1
5,TFMT,1
5,MDDS,1
5,GJKZ,1
5,HKSZ,1
5,UMHZ,1
5,GFPP,1
5,HGUH,1
5,HHKD,1
5,WHAF,1
5,FRPD,1
5,QJWG,1
5,BFHX,1
5,GGNJ,1
5,WDEY,1
5,FMLT,1
6,USEB,1
6,XQPZ,1
6,EGNF,1
6,EGND,1
6,HAWS,1
6,UMHK,1
6,UUPL,1
6,EGNN,1
6,SERH,1
6,EUFM,1
6,EGNA,1
6,UPWJ,1
6,TSRD,1
6,USUL,1
6,CWWK,1
6,LKTC,1
