GeolocCode,BerthName,CraneName
JWTD,JWTDVISA      01,JWTDVISA      01_Crane
RRRK,NEW YORK all-purpose berth-RRRK,NEW YORK gantry crane-RRRK
LYAP,LYAPVISA      01,LYAPVISA      01_Crane
MKAG,MKAGVISA      01,MKAGVISA      01_Crane
FNLD,FNLDGENERAL PU01,FNLDGENERAL PU01_Crane
XUDT,XUDTVISA      01,XUDTVISA      01_Crane
RGJW,RGJWGENERAL PU01,RGJWGENERAL PU01_Crane
RGJW,RGJWVISA      01,RGJWVISA      01_Crane
QHPF,QHPFBBULK/RORO01,QHPFBBULK/RORO01_Crane
QHPF,QHPFBBULK/RORO02,QHPFBBULK/RORO02_Crane
QHPF,QHPFBBULK/RORO03,QHPFBBULK/RORO03_Crane
QHPF,QHPFBBULK/RORO04,QHPFBBULK/RORO04_Crane
QHPF,QHPFGENERAL PU01,QHPFGENERAL PU01_Crane
QHPF,QHPFGENERAL PU02,QHPFGENERAL PU02_Crane
QHPF,QHPFVISA      01,QHPFVISA      01_Crane
QHPB,QHPBBBULK/RORO01,QHPBBBULK/RORO01_Crane
QHPB,QHPBBBULK/RORO02,QHPBBBULK/RORO02_Crane
QHPB,QHPBBBULK/RORO03,QHPBBBULK/RORO03_Crane
QHPB,QHPBGENERAL PU01,QHPBGENERAL PU01_Crane
QHPB,QHPBVISA      01,QHPBVISA      01_Crane
QHPD,QHPDBBULK/RORO01,QHPDBBULK/RORO01_Crane
QHPD,QHPDBBULK/RORO02,QHPDBBULK/RORO02_Crane
QHPD,QHPDGENERAL PU01,QHPDGENERAL PU01_Crane
QCFF,QCFFVISA      01,QCFFVISA      01_Crane
STRM,STRMGENERAL PU01,STRMGENERAL PU01_Crane
CWGV,CWGVVISA      01,CWGVVISA      01_Crane
RRQL,RRQLBBULK/RORO01,RRQLBBULK/RORO01_Crane
RRQL,RRQLBBULK/RORO02,RRQLBBULK/RORO02_Crane
RRQL,RRQLBBULK/RORO03,RRQLBBULK/RORO03_Crane
RRQL,RRQLBREAKBULK 01,RRQLBREAKBULK 01_Crane
RRQL,RRQLBREAKBULK 02,RRQLBREAKBULK 02_Crane
RRQL,RRQLBREAKBULK 03,RRQLBREAKBULK 03_Crane
RRQL,RRQLGENERAL PU01,RRQLGENERAL PU01_Crane
RRQL,RRQLGENERAL PU02,RRQLGENERAL PU02_Crane
UZXJ,SAVANNAH all-purpose berth-UZXJ,SAVANNAH gantry crane-UZXJ
HMGB,HMGBVISA      01,HMGBVISA      01_Crane
PAXM,PAXMVISA      01,PAXMVISA      01_Crane
XEXW,XEXWVISA      01,XEXWVISA      01_Crane
LSGM,JACKSONVILLE all-purpose berth-LSGM,JACKSONVILLE gantry crane-LSGM
NSAN,NSANGENERAL PU01,NSANGENERAL PU01_Crane
NSAN,NSANVISA      01,NSANVISA      01_Crane
TNVX,TNVXVISA      01,TNVXVISA      01_Crane
MMGH,MMGHGENERAL PU01,MMGHGENERAL PU01_Crane
MMGH,MMGHGENERAL PU02,MMGHGENERAL PU02_Crane
MMGH,MMGHGENERAL PU03,MMGHGENERAL PU03_Crane
MMGH,MMGHGENERAL PU04,MMGHGENERAL PU04_Crane
MMGH,MMGHRORO      01,MMGHRORO      01_Crane
MMGH,MMGHVISA      01,MMGHVISA      01_Crane
TGWS,TGWSVISA      01,TGWSVISA      01_Crane
UNAP,UNAPBBULK/RORO01,UNAPBBULK/RORO01_Crane
UNAP,UNAPBBULK/RORO02,UNAPBBULK/RORO02_Crane
UNAP,UNAPBBULK/RORO03,UNAPBBULK/RORO03_Crane
UNAP,UNAPBBULK/RORO04,UNAPBBULK/RORO04_Crane
UNAP,UNAPBBULK/RORO05,UNAPBBULK/RORO05_Crane
UNAP,UNAPBBULK/RORO06,UNAPBBULK/RORO06_Crane
UNAP,UNAPBBULK/RORO07,UNAPBBULK/RORO07_Crane
UNAP,UNAPBBULK/RORO08,UNAPBBULK/RORO08_Crane
UNAP,UNAPBBULK/RORO09,UNAPBBULK/RORO09_Crane
UNAP,UNAPBBULK/RORO10,UNAPBBULK/RORO10_Crane
UNAP,UNAPBBULK/RORO11,UNAPBBULK/RORO11_Crane
UNAP,UNAPBBULK/RORO12,UNAPBBULK/RORO12_Crane
UNAP,UNAPBBULK/RORO13,UNAPBBULK/RORO13_Crane
UNAP,UNAPBBULK/RORO14,UNAPBBULK/RORO14_Crane
UNAP,UNAPBBULK/RORO15,UNAPBBULK/RORO15_Crane
UNAP,UNAPBBULK/RORO16,UNAPBBULK/RORO16_Crane
UNAP,UNAPBBULK/RORO17,UNAPBBULK/RORO17_Crane
UNAP,UNAPBBULK/RORO18,UNAPBBULK/RORO18_Crane
UNAP,UNAPBBULK/RORO19,UNAPBBULK/RORO19_Crane
UNAP,UNAPBBULK/RORO20,UNAPBBULK/RORO20_Crane
UNAP,UNAPBBULK/RORO21,UNAPBBULK/RORO21_Crane
UNAP,UNAPBBULK/RORO22,UNAPBBULK/RORO22_Crane
UNAP,UNAPBBULK/RORO23,UNAPBBULK/RORO23_Crane
UNAP,UNAPBBULK/RORO24,UNAPBBULK/RORO24_Crane
UNAP,UNAPBBULK/RORO25,UNAPBBULK/RORO25_Crane
UNAP,UNAPGENERAL PU01,UNAPGENERAL PU01_Crane
UNAP,UNAPGENERAL PU02,UNAPGENERAL PU02_Crane
UNAP,UNAPGENERAL PU03,UNAPGENERAL PU03_Crane
