Geoloc,SeaportGeolocCode,MaxQueue,MaxDraft,JLOTS,Active,Constrained,Ocean,Bunkering,MaxMilitaryShips,BreakbulkOnloadRate,BreakbulkOffloadRate,ContainerOnloadRate,ContainerOffloadRate,RoroOnloadRate,RoroOffloadRate,EquipmentStorage,CostPerMTon,CostPerTEU,CostPerVoyage,AccessorialsMton,AccessorialsTeu,WriMton,WriTeu,Label
XJCS,XJCS,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TVXA,TVXA,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,40,240,50000,0,0,0,0,""
EWFK,EWFK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
VWCR,VWCR,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JMCZ,JMCZ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
HJTL,HJTL,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
ADKH,ADKH,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,24,281,50000,0,0,0,0,""
FGDB,FGDB,30,999,false,true,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,29,200,50000,0,0,0,0,""
FAFL,FAFL,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
MDXB,MDXB,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
MLWY,MLWY,30,999,false,false,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AVPV,AVPV,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
LYTM,LYTM,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,39,296,50000,0,0,0,0,""
WPAU,WPAU,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,20,206,50000,0,0,0,0,""
NYNF,NYNF,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
00XT,00XT,30,999,false,true,false,true,false,6,4000,6000,2300,2600,1200,1800,1742400,34,235,50000,0,0,0,0,""
MAAU,MAAU,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AVPN,AVPN,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
VXTY,VXTY,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
WTJG,WTJG,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,32,259,50000,0,0,0,0,""
NTUF,NTUF,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
SMXS,SMXS,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,276,50000,0,0,0,0,""
ENCN,ENCN,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,31,257,50000,0,0,0,0,""
ADLS,ADLS,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,37,207,50000,0,0,0,0,""
GLZN,GLZN,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
EXGM,EXGM,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AYER,AYER,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
NTUH,NTUH,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
XRSP,XRSP,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
PYKG,PYKG,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
DPMD,DPMD,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
SBDZ,SBDZ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
ADNE,ADNE,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
RBXH,RBXH,30,999,false,false,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
XRVJ,XRVJ,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,231,50000,0,0,0,0,""
UTBR,UTBR,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TQPB,TQPB,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
ZSAK,ZSAK,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
SBEA,SBEA,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,21,216,50000,0,0,0,0,""
TNZV,TNZV,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JXKM,JXKM,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,39,261,50000,0,0,0,0,""
PUCT,PUCT,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
MCYS,MCYS,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
PYKS,PYKS,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
RJHC,RJHC,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
FQZF,FQZF,30,999,false,true,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,28,266,50000,0,0,0,0,""
UTBS,UTBS,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
STYW,STYW,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
RQFF,RQFF,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TVJD,TVJD,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,38,223,50000,0,0,0,0,""
VSNF,VSNF,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,25,200,50000,0,0,0,0,""
SBEQ,SBEA,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,26,241,50000,0,0,0,0,""
TNZY,TNZY,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,24,218,50000,0,0,0,0,""
VKNP,VKNP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,29,208,50000,0,0,0,0,""
FERR,FERR,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
NLFL,NLFL,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,25,263,50000,0,0,0,0,""
FGDD,FGDD,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,32,293,50000,0,0,0,0,""
FUPD,FUPD,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
FGTW,FGTW,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,29,214,50000,0,0,0,0,""
UTAC,UTAC,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,39,227,50000,0,0,0,0,""
RCYT,RCYT,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,228,50000,0,0,0,0,""
RULV,RULV,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,27,282,50000,0,0,0,0,""
RCYQ,RCYQ,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,36,201,50000,0,0,0,0,""
00IO,00IO,30,999,false,true,false,true,false,6,4000,6000,2300,2600,1200,1800,1742400,30,256,50000,0,0,0,0,""
APFD,APFD,30,999,true,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
BBGP,BBGP,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
XVMN,XVMN,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,38,265,50000,0,0,0,0,""
DKSD,DKSD,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,34,299,50000,0,0,0,0,""
FNSH,FNSH,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,36,217,50000,0,0,0,0,""
WUND,WUND,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
EZMU,EZMU,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,36,275,50000,0,0,0,0,""
ADNK,ADNK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
VFVN,VFVN,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,35,277,50000,0,0,0,0,""
APGW,APGW,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,225,50000,0,0,0,0,""
AHXM,AHXM,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TTWZ,TTWZ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JSSN,JSSN,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,298,50000,0,0,0,0,""
AYYY,AYYY,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
BQWA,BQWA,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,39,242,50000,0,0,0,0,""
YLHU,YLHU,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
EMVX,EMVX,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
EMVY,EMVY,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TDXQ,TDXQ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JTUX,JTUX,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AVBU,AVBU,30,999,false,true,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,39,235,50000,0,0,0,0,""
AEQT,AEQT,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,22,276,50000,0,0,0,0,""
ZLVW,ZLVW,30,999,false,false,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TPPR,TPPR,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,39,257,50000,0,0,0,0,""
