Geoloc,Name,Day,Enabled,Description,EventPhase,Length,Depth,Width,ApronWidth,TankerLoadRate,PolConnections
ADKH,ADKHBBULK/RORO01,0,true,,,2460,29,800,60,2000,0
ADKH,ADKHBBULK/RORO02,0,true,,,2460,29,800,60,2000,0
ADKH,ADKHBBULK/RORO03,0,true,,,1968,35,800,60,2000,0
ADKH,ADKHGENERAL PU01,0,true,,,1968,35,800,60,2000,0
MLWY,MLWYBBULK/RORO01,0,true,,,1807,26,800,60,2000,0
MLWY,MLWYBBULK/RORO02,0,true,,,2100,26,800,60,2000,0
MLWY,MLWYGENERAL PU01,0,true,,,1722,26,800,60,2000,0
LYTM,LYTMJLOTS     01,0,true,,,3000,40,800,60,500,0
LYTM,LYTMVISA      01,0,true,,,9999,99,800,60,2000,0
WPAU,WPAUGENERAL PU01,0,true,,,2000,36,800,60,2000,0
00XT,00XTALL-PURPOS01,0,true,,,999,99,800,120,2000,0
WTJG,WTJGVISA      01,0,true,,,9999,99,800,60,2000,0
SMXS,SMXSVISA      01,0,true,,,9999,99,800,60,2000,0
ENCN,ENCNBBULK/RORO01,0,true,,,1000,36,800,60,2000,0
ENCN,ENCNBBULK/RORO02,0,true,,,750,37,800,60,2000,0
ENCN,ENCNBREAKBULK 01,0,true,,,700,28,800,60,2000,0
ENCN,ENCNGENERAL PU01,0,true,,,1060,45,800,60,2000,0
ADLS,ADLS berth general purpose,0,true,,,4000,90,800,180,2000,0
ADLS,ADLS berth container,0,true,,,4000,90,800,180,2000,0
RBXH,RBXHBBULK/RORO01,0,true,,,968,26,800,60,2000,0
RBXH,RBXHGENERAL PU01,0,true,,,1083,30,800,60,2000,0
XRVJ,XRVJVISA      01,0,true,,,9999,99,800,60,2000,0
SBEA,NORFOLK all-purpose berth-SBEA,0,true,,,5000,55,800,120,2000,0
JXKM,JXKMGENERAL PU01,0,true,,,2000,36,800,60,2000,0
JXKM,JXKMVISA      01,0,true,,,9999,99,800,60,2000,0
FQZF,all-purpose berth-FQZF Terminal-19855,0,true,,,5000,70,800,120,2000,0
TVJD,TVJDBBULK/CONT01,0,true,,,606,32,800,60,2000,0
TVJD,TVJDBBULK/RORO01,0,true,,,1279,32,800,60,2000,0
TVJD,TVJDBREAKBULK 01,0,true,,,630,27,800,60,2000,0
TVJD,TVJDBREAKBULK 02,0,true,,,721,26,800,60,2000,0
TVJD,TVJDBREAKBULK 03,0,true,,,984,27,800,60,2000,0
TVJD,TVJDBREAKBULK 04,0,true,,,1433,27,800,60,2000,0
TVJD,TVJDGENERAL PU01,0,true,,,656,32,800,60,2000,0
TVJD,TVJDGENERAL PU02,0,true,,,1084,32,800,60,2000,0
TVJD,TVJDGENERAL PU03,0,true,,,1318,29,800,60,2000,0
TVJD,TVJDGENERAL PU04,0,true,,,2145,29,800,60,2000,0
TVJD,TVJDGENERAL PU05,0,true,,,1541,29,800,60,2000,0
TVJD,TVJDGENERAL PU06,0,true,,,1476,29,800,60,2000,0
TVJD,TVJDGENERAL PU07,0,true,,,1374,29,800,60,2000,0
TVJD,TVJDGENERAL PU08,0,true,,,1272,29,800,60,2000,0
TVJD,TVJDGENERAL PU09,0,true,,,4592,42,800,60,2000,0
TVJD,TVJDGENERAL PU10,0,true,,,4149,39,800,60,2000,0
TVJD,TVJDGENERAL PU11,0,true,,,2952,42,800,60,2000,0
TVJD,TVJDGENERAL PU12,0,true,,,1779,40,800,60,2000,0
TVJD,TVJDGENERAL PU13,0,true,,,2118,29,800,60,2000,0
TVJD,TVJDVISA      01,0,true,,,9999,99,800,60,2000,0
VSNF,VSNFVISA      01,0,true,,,9999,99,800,60,2000,0
SBEQ,SBEQ,0,true,,,1000,50,800,120,2000,0
TNZY,TNZYBBULK/RORO01,0,true,,,784,35,800,60,2000,0
TNZY,TNZYBBULK/RORO02,0,true,,,1202,35,800,60,2000,0
TNZY,TNZYBBULK/RORO03,0,true,,,1025,35,800,60,2000,0
TNZY,TNZYBBULK/RORO04,0,true,,,1400,35,800,60,2000,0
TNZY,TNZYBBULK/RORO05,0,true,,,1800,35,800,60,2000,0
TNZY,TNZYBREAKBULK 01,0,true,,,600,35,800,60,2000,0
VKNP,Safaqis cont-1 berth,0,true,,,1640,44,800,120,2000,0
VKNP,Safaqis cont-2 berth,0,true,,,1640,34,800,120,2000,0
VKNP,Safaqis NE-1 berth,0,true,,,1656,34,800,180,2000,0
VKNP,Safaqis NE-2 berth,0,true,,,1656,46,800,180,2000,0
VKNP,Safaqis NW-1 berth,0,true,,,1804,35,800,180,2000,0
VKNP,Safaqis tanker berth,0,true,,,1000,44,800,180,450,2
VKNP,Safaqis NW-2 berth,0,true,,,1804,35,800,180,2000,0
VKNP,SALT,0,true,,,492,34,800,180,2000,0
NLFL,NLFLGENERAL PU01,0,true,,,2000,36,800,60,2000,0
FGDD,FGDDBBULK/RORO01,0,true,,,1000,45,800,60,2000,0
FGDD,FGDDGENERAL PU01,0,true,,,1000,45,800,60,2000,0
FGTW,FGTW berth container,0,true,,,4000,90,800,180,2000,0
FGTW,FGTW berth general purpose,0,true,,,4000,90,800,180,2000,0
UTAC,SAN DIEGO all-purpose berth-UTAC,0,true,,,5000,55,800,120,2000,0
RCYT,RCYTVISA      01,0,true,,,9999,99,800,60,2000,0
RULV,NEWPORT NEWS all-purpose berth-RULV,0,true,,,5000,55,800,120,2000,0
RCYQ,RCYQVISA      01,0,true,,,9999,99,800,60,2000,0
00IO,00IOGENERAL PU01,0,true,,,9999,99,800,60,2000,0
APFD,all-purpose berth-APFD Terminal-19858,0,true,,,5000,70,800,120,2000,0
XVMN,XVMNVISA      01,0,true,,,9999,99,800,60,2000,0
DKSD,Charleston-all-purpose berth-DKSD -19778,0,true,,,5000,55,800,120,2000,0
FNSH,FNSHVISA      01,0,true,,,9999,99,800,60,2000,0
EZMU,EZMUVISA      01,0,true,,,9999,99,800,60,2000,0
VFVN,VFVNGENERAL PU01,0,true,,,1580,50,800,60,2000,0
VFVN,VFVNGENERAL PU02,0,true,,,6049,40,800,60,2000,0
VFVN,VFVNGENERAL PU03,0,true,,,2750,45,800,60,2000,0
VFVN,VFVNVISA      01,0,true,,,9999,99,800,60,2000,0
