Name,GeolocCode,Active,FromDay,ToDay,CraneType,Quantity,ContainerOffloadRate,ContainerOnloadRate,BreakbulkOffloadRate,BreakbulkOnloadRate,ServesAll
FNLDGENERAL PU01_Crane,FNLD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
XUDTVISA      01_Crane,XUDT,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
RGJWGENERAL PU01_Crane,RGJW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
RGJWVISA      01_Crane,RGJW,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MobCranes: SUSAH -WMY2-PRT,WMY2,true,-999,99999,MOBILE,2,100,100,3000,3000,false
QHPFBBULK/RORO01_Crane,QHPF,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPFBBULK/RORO02_Crane,QHPF,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPFBBULK/RORO03_Crane,QHPF,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPFBBULK/RORO04_Crane,QHPF,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPFGENERAL PU01_Crane,QHPF,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPFGENERAL PU02_Crane,QHPF,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPFVISA      01_Crane,QHPF,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
QHPBBBULK/RORO01_Crane,QHPB,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPBBBULK/RORO02_Crane,QHPB,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPBBBULK/RORO03_Crane,QHPB,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPBGENERAL PU01_Crane,QHPB,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPBVISA      01_Crane,QHPB,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
QHPDBBULK/RORO01_Crane,QHPD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPDBBULK/RORO02_Crane,QHPD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QHPDGENERAL PU01_Crane,QHPD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
QCFFVISA      01_Crane,QCFF,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
STRMGENERAL PU01_Crane,STRM,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
CWGVVISA      01_Crane,CWGV,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
RRQLBBULK/RORO01_Crane,RRQL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
RRQLBBULK/RORO02_Crane,RRQL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
RRQLBBULK/RORO03_Crane,RRQL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
RRQLBREAKBULK 01_Crane,RRQL,true,-999,99999,MOBILE,1,450,450,1800,1800,false
RRQLBREAKBULK 02_Crane,RRQL,true,-999,99999,MOBILE,1,450,450,1800,1800,false
RRQLBREAKBULK 03_Crane,RRQL,true,-999,99999,MOBILE,1,450,450,1800,1800,false
RRQLGENERAL PU01_Crane,RRQL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
RRQLGENERAL PU02_Crane,RRQL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
SAVANNAH gantry crane-UZXJ,UZXJ,true,-999,99999,GANTRY,10,288,288,8000,8000,true
HMGBVISA      01_Crane,HMGB,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
PAXMVISA      01_Crane,PAXM,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
XEXWVISA      01_Crane,XEXW,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
JACKSONVILLE gantry crane-LSGM,LSGM,true,-999,99999,GANTRY,10,288,288,8000,8000,true
NSANGENERAL PU01_Crane,NSAN,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
NSANVISA      01_Crane,NSAN,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TNVXVISA      01_Crane,TNVX,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MMGHGENERAL PU01_Crane,MMGH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MMGHGENERAL PU02_Crane,MMGH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MMGHGENERAL PU03_Crane,MMGH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MMGHGENERAL PU04_Crane,MMGH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MMGHRORO      01_Crane,MMGH,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MMGHVISA      01_Crane,MMGH,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TGWSVISA      01_Crane,TGWS,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
UNAPBBULK/RORO01_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO02_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO03_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO04_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO05_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO06_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO07_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO08_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO09_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO10_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO11_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO12_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO13_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO14_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO15_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO16_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO17_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO18_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO19_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO20_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UNAPBBULK/RORO21_Crane,UNAP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
