Name,GeolocCode,BerthType,BerthGroup,Active,FromDay,ToDay,Length,ShipSpacing,Depth,Width,ApronWidth,MilitaryAvailable,TankerLoadRate,AllowableCargo,Overhang,PolConnections
FVMTGENERAL PU01,FVMT,GENERAL PURP,FVMTGENERAL PU01,false,0,99999,2500,50,40,800,60,true,2000,BOTH,0,0
FVMTGENERAL PU02,FVMT,GENERAL PURP,FVMTGENERAL PU02,false,0,99999,2019,50,38,800,60,true,2000,BOTH,0,0
FVMTGENERAL PU03,FVMT,GENERAL PURP,FVMTGENERAL PU03,false,0,99999,2532,50,38,800,60,true,2000,BOTH,0,0
FVMTGENERAL PU04,FVMT,GENERAL PURP,FVMTGENERAL PU04,false,0,99999,1000,50,35,800,60,true,2000,BOTH,0,0
FVMTGENERAL PU05,FVMT,GENERAL PURP,FVMTGENERAL PU05,false,0,99999,2200,50,35,800,60,true,2000,BOTH,0,0
FVMTGENERAL PU06,FVMT,GENERAL PURP,FVMTGENERAL PU06,false,0,99999,2560,50,35,800,60,true,2000,BOTH,0,0
EDMEVISA      01,EDME,VISA,EDMEVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
XYNKVISA      01,XYNK,VISA,XYNKVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
JWTDVISA      01,JWTD,VISA,JWTDVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
NEW YORK all-purpose berth-RRRK,RRRK,ALL-PURPOSE,NEW YORK berth group-RRRK,true,-999,99999,5000,50,55,800,120,true,2000,BOTH,0,0
LYAPVISA      01,LYAP,VISA,LYAPVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
MKAGVISA      01,MKAG,VISA,MKAGVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
FNLDGENERAL PU01,FNLD,GENERAL PURP,FNLDGENERAL PU01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
XUDTVISA      01,XUDT,VISA,XUDTVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
RGJWGENERAL PU01,RGJW,GENERAL PURP,RGJWGENERAL PU01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
RGJWVISA      01,RGJW,VISA,RGJWVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
QHPFBBULK/RORO01,QHPF,BBULK/RORO,QHPFBBULK/RORO01,false,0,99999,3050,50,31,800,60,true,2000,BOTH,0,0
QHPFBBULK/RORO02,QHPF,BBULK/RORO,QHPFBBULK/RORO02,false,0,99999,656,50,34,800,60,true,2000,BOTH,0,0
QHPFBBULK/RORO03,QHPF,BBULK/RORO,QHPFBBULK/RORO03,false,0,99999,1902,50,37,800,60,true,2000,BOTH,0,0
QHPFBBULK/RORO04,QHPF,BBULK/RORO,QHPFBBULK/RORO04,false,0,99999,1148,50,37,800,60,true,2000,BOTH,0,0
QHPFGENERAL PU01,QHPF,GENERAL PURP,QHPFGENERAL PU01,true,0,99999,1508,50,42,800,60,true,2000,BOTH,0,0
QHPFGENERAL PU02,QHPF,GENERAL PURP,QHPFGENERAL PU02,true,0,99999,1508,50,34,800,60,true,2000,BOTH,0,0
QHPFVISA      01,QHPF,VISA,QHPFVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
QHPBBBULK/RORO01,QHPB,BBULK/RORO,QHPBBBULK/RORO01,true,0,99999,6156,50,37,800,60,true,2000,BOTH,0,0
