Geoloc,Name,Day,Enabled,Description,EventPhase,Quantity,ContainerOnloadRate,ContainerOffloadRate,BreakbulkOnloadRate,BreakbulkOffloadRate
UNAP,UNAPGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPGENERAL PU04_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPGENERAL PU05_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPGENERAL PU06_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPGENERAL PU07_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPGENERAL PU08_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
LYRV,LYRVVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
AELU,AELUVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
NNWH,NNWHVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
ABFL,ABFLBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLBBULK/RORO05_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLBBULK/RORO06_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLBBULK/RORO07_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLBBULK/RORO08_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLBREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
ABFL,ABFLBREAKBULK 02_Crane,0,true,,,1,450,450,1800,1800
ABFL,ABFLGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
ABFL,ABFLVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
APRJ,MobCranes: ASHTART -APRJ-PRT,0,true,,,2,100,100,3000,3000
TQKG,TQKGGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
TQKG,TQKGVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
QNPW,QNPWBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
QNPW,QNPWBREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
AJGX,AJGXVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RELG,RELGVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
XJCS,MobCranes: TUNIS -XJCS-PRT,0,true,,,2,100,100,3000,3000
TVXA,TVXABBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
TVXA,TVXABBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
TVXA,TVXABBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
TVXA,TVXABREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
TVXA,TVXAGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
TVXA,TVXAGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
ADKH,ADKHBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
ADKH,ADKHBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
ADKH,ADKHBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
ADKH,ADKHGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
MLWY,MLWYBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
MLWY,MLWYBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
MLWY,MLWYGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
LYTM,LYTMJLOTS     01_Crane,0,true,,,1,750,750,3000,3000
LYTM,LYTMVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
WPAU,WPAUGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
00XT,00XTALL-PURPOS01_Crane,0,true,,,1,2250,2250,9000,9000
VXTY,MobCranes: SOUSSE -VXTY-PRT,0,true,,,2,100,100,3000,3000
WTJG,WTJGVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
SMXS,SMXSVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
ENCN,ENCNBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
ENCN,ENCNBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
ENCN,ENCNBREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
ENCN,ENCNGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
ADLS,Container: ADLS berth container 1,0,true,,,1,144,144,4000,4000
ADLS,Gantry: ADLS berth container 1,0,true,,,1,288,288,8000,8000
ADLS,Gantry: ADLS berth general purpose 1,0,true,,,1,288,288,8000,8000
ADLS,Container: ADLS berth general purpose 1,0,true,,,1,144,144,4000,4000
ADLS,MobCranes: AL MAHDIYAH -ADLS-PRT,0,true,,,2,100,100,3000,3000
RBXH,RBXHBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
RBXH,RBXHGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
XRVJ,XRVJVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
TQPB,MobCranes: PORTO FARINA -TQPB-PRT,0,true,,,2,100,100,3000,3000
ZSAK,MobCranes: ZARZIS -ZSAK-PRT,0,true,,,2,100,100,3000,3000
SBEA,NORFOLK gantry crane-SBEA,0,true,,,10,288,288,8000,8000
JXKM,JXKMGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
JXKM,JXKMVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
FQZF,gantry crane-FQZF Terminal-19856,0,true,,,10,288,288,8000,8000
TVJD,TVJDBBULK/CONT01_Crane,0,true,,,1,1400,1400,5600,5600
TVJD,TVJDBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDBREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
TVJD,TVJDBREAKBULK 02_Crane,0,true,,,1,450,450,1800,1800
TVJD,TVJDBREAKBULK 03_Crane,0,true,,,1,450,450,1800,1800
TVJD,TVJDBREAKBULK 04_Crane,0,true,,,1,450,450,1800,1800
TVJD,TVJDGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU04_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU05_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU06_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU07_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU08_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU09_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU10_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU11_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU12_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDGENERAL PU13_Crane,0,true,,,1,2250,2250,9000,9000
TVJD,TVJDVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
VSNF,VSNFVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
SBEQ,SBEQ CRANE,0,true,,,3,288,288,8000,8000
TNZY,TNZYBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
TNZY,TNZYBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
TNZY,TNZYBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
TNZY,TNZYBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
TNZY,TNZYBBULK/RORO05_Crane,0,true,,,1,2250,2250,9000,9000
TNZY,TNZYBREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
VKNP,Container: Safaqis NW-2 berth 1,0,true,,,1,144,144,4000,4000
VKNP,Gantry: Safaqis NE-1 berth 1,0,true,,,1,288,288,8000,8000
VKNP,Gantry: Safaqis NW-2 berth 1,0,true,,,1,288,288,8000,8000
VKNP,Container: Safaqis tanker berth 1,0,true,,,1,144,144,4000,4000
VKNP,Gantry: Safaqis NW-1 berth 1,0,true,,,1,288,288,8000,8000
VKNP,Container: Safaqis NW-1 berth 1,0,true,,,1,144,144,4000,4000
VKNP,Gantry: Safaqis cont-1 berth 1,0,true,,,1,288,288,8000,8000
VKNP,Container: Safaqis NE-1 berth 1,0,true,,,1,144,144,4000,4000
VKNP,Container: Safaqis cont-1 berth 1,0,true,,,1,144,144,4000,4000
VKNP,Gantry: Safaqis cont-2 berth 1,0,true,,,1,288,288,8000,8000
VKNP,MobCranes: SAFAQIS -VKNP-PRT,0,true,,,2,100,100,3000,3000
VKNP,Gantry: SALT 1,0,true,,,1,288,288,8000,8000
VKNP,Container: SALT 1,0,true,,,1,144,144,4000,4000
VKNP,Container: Safaqis NE-2 berth 1,0,true,,,1,144,144,4000,4000
VKNP,Container: Safaqis cont-2 berth 1,0,true,,,1,144,144,4000,4000
VKNP,Gantry: Safaqis tanker berth 1,0,true,,,1,288,288,8000,8000
VKNP,Gantry: Safaqis NE-2 berth 1,0,true,,,1,288,288,8000,8000
NLFL,NLFLGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
FGDD,FGDDBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
FGDD,FGDDGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
FUPD,MobCranes: EL KALA -FUPD-PRT,0,true,,,2,100,100,3000,3000
FGTW,Gantry: FGTW berth container 1,0,true,,,1,288,288,8000,8000
FGTW,MobCranes: DJERBA -FGTW-PRT,0,true,,,2,100,100,3000,3000
FGTW,Container: FGTW berth container 1,0,true,,,1,144,144,4000,4000
FGTW,Container: FGTW berth general purpose 1,0,true,,,1,144,144,4000,4000
FGTW,Gantry: FGTW berth general purpose 1,0,true,,,1,288,288,8000,8000
UTAC,SAN DIEGO gantry crane-UTAC,0,true,,,10,288,288,8000,8000
RCYT,RCYTVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RULV,NEWPORT NEWS gantry crane-RULV,0,true,,,10,288,288,8000,8000
RCYQ,RCYQVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
00IO,00IOGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
APFD,MobCranes: AS SUKHAYRAH -APFD-PRT,0,true,,,2,100,100,3000,3000
XVMN,XVMNVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
DKSD,gantry crane-DKSD Terminal-19779,0,true,,,10,288,288,8000,8000
FNSH,FNSHVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
EZMU,EZMUVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
VFVN,VFVNGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
VFVN,VFVNGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
VFVN,VFVNGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
VFVN,VFVNVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
APGW,APGWVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
JSSN,JSSNVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
BQWA,BQWAVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
AVBU,gantry crane-AVBU Terminal-19774,0,true,,,10,288,288,8000,8000
AEQT,AEQTVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
ZLVW,ZLVWBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
ZLVW,ZLVWBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
ZLVW,ZLVWBREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
ZLVW,ZLVWGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
TPPR,TPPRGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
TPPR,TPPRVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
JJRP,JJRPVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
JTVH,GULFPORT gantry crane-JTVH -19785,0,true,,,10,288,288,8000,8000
REPV,REPVBBULK/AMMO01_Crane,0,true,,,1,875,875,3500,3500
REPV,REPVBBULK/CONT01_Crane,0,true,,,1,1400,1400,5600,5600
REPV,REPVBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
REPV,REPVBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
REPV,REPVBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
REPV,REPVBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
REPV,REPVVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
LWEV,LWEVBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
LWEV,LWEVGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
LWEV,LWEVGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
LWEV,LWEVGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
FMAZ,FMAZVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RRHU,RRHUVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
NBDY,NBDYVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
TKDW,TKDWBBULK/CONT01_Crane,0,true,,,1,1400,1400,5600,5600
TKDW,TKDWBBULK/CONT02_Crane,0,true,,,1,1400,1400,5600,5600
TKDW,TKDWBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
TKDW,TKDWBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
TKDW,TKDWBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
TKDW,TKDWBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
TKDW,TKDWBBULK/RORO05_Crane,0,true,,,1,2250,2250,9000,9000
TKDW,TKDWGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
TKDW,TKDWGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
TKDW,TKDWGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
