Name,GeolocCode,TotalNewLimit
ADKHBBULK/RORO01,ADKH,2100000000
ADKHBBULK/RORO02,ADKH,2100000000
ADKHBBULK/RORO03,ADKH,2100000000
ADKHGENERAL PU01,ADKH,2100000000
MLWYBBULK/RORO01,MLWY,2100000000
MLWYBBULK/RORO02,MLWY,2100000000
MLWYGENERAL PU01,MLWY,2100000000
LYTMJLOTS     01,LYTM,2100000000
LYTMVISA      01,LYTM,2100000000
WPAUGENERAL PU01,WPAU,2100000000
00XTALL-PURPOS01,00XT,2100000000
WTJGVISA      01,WTJG,2100000000
SMXSVISA      01,SMXS,2100000000
ENCNBBULK/RORO01,ENCN,2100000000
ENCNBBULK/RORO02,ENCN,2100000000
ENCNBREAKBULK 01,ENCN,2100000000
ENCNGENERAL PU01,ENCN,2100000000
BG ADLS berth general purpose,ADLS,2100000000
BG ADLS berth container,ADLS,2100000000
RBXHBBULK/RORO01,RBXH,2100000000
RBXHGENERAL PU01,RBXH,2100000000
XRVJVISA      01,XRVJ,2100000000
NORFOLK berth group-SBEA,SBEA,2100000000
JXKMGENERAL PU01,JXKM,2100000000
JXKMVISA      01,JXKM,2100000000
berth group-FQZF Terminal-19854,FQZF,2100000000
TVJDBBULK/CONT01,TVJD,2100000000
TVJDBBULK/RORO01,TVJD,2100000000
TVJDBREAKBULK 01,TVJD,2100000000
TVJDBREAKBULK 02,TVJD,2100000000
TVJDBREAKBULK 03,TVJD,2100000000
TVJDBREAKBULK 04,TVJD,2100000000
TVJDGENERAL PU01,TVJD,2100000000
TVJDGENERAL PU02,TVJD,2100000000
TVJDGENERAL PU03,TVJD,2100000000
TVJDGENERAL PU04,TVJD,2100000000
TVJDGENERAL PU05,TVJD,2100000000
TVJDGENERAL PU06,TVJD,2100000000
TVJDGENERAL PU07,TVJD,2100000000
TVJDGENERAL PU08,TVJD,2100000000
TVJDGENERAL PU09,TVJD,2100000000
TVJDGENERAL PU10,TVJD,2100000000
TVJDGENERAL PU11,TVJD,2100000000
TVJDGENERAL PU12,TVJD,2100000000
TVJDGENERAL PU13,TVJD,2100000000
TVJDVISA      01,TVJD,2100000000
VSNFVISA      01,VSNF,2100000000
SBEQ,SBEQ,2100000000
TNZYBBULK/RORO01,TNZY,2100000000
TNZYBBULK/RORO02,TNZY,2100000000
TNZYBBULK/RORO03,TNZY,2100000000
TNZYBBULK/RORO04,TNZY,2100000000
TNZYBBULK/RORO05,TNZY,2100000000
TNZYBREAKBULK 01,TNZY,2100000000
BG Safaqis cont-1 berth,VKNP,2100000000
BG Safaqis cont-2 berth,VKNP,2100000000
BG Safaqis NE-1 berth,VKNP,2100000000
BG Safaqis NE-2 berth,VKNP,2100000000
BG Safaqis NW-1 berth,VKNP,2100000000
BG Safaqis tanker berth,VKNP,2100000000
BG Safaqis NW-2 berth,VKNP,2100000000
BG SALT,VKNP,2100000000
NLFLGENERAL PU01,NLFL,2100000000
FGDDBBULK/RORO01,FGDD,2100000000
FGDDGENERAL PU01,FGDD,2100000000
BG FGTW berth container,FGTW,2100000000
BG FGTW berth general purpose,FGTW,2100000000
SAN DIEGO berth group-UTAC,UTAC,2100000000
RCYTVISA      01,RCYT,2100000000
NEWPORT NEWS berth group-RULV,RULV,2100000000
RCYQVISA      01,RCYQ,2100000000
00IOGENERAL PU01,00IO,2100000000
berth group-APFD Terminal-19857,APFD,2100000000
XVMNVISA      01,XVMN,2100000000
Charleston-DKSD Terminal-19777,DKSD,2100000000
FNSHVISA      01,FNSH,2100000000
EZMUVISA      01,EZMU,2100000000
VFVNGENERAL PU01,VFVN,2100000000
VFVNGENERAL PU02,VFVN,2100000000
VFVNGENERAL PU03,VFVN,2100000000
