Utc,Ulc,UtcShortName,Service,AuthPers,Pax,Cbbls,UtcLongName,DeployIndCode,SecurityClass,UtcStatus,OriginatorUic,RecordIndicator,ReferenceDoc,ReplacerUtc,CreateDate,ChangeDate,CancelDate,Configuration
5LHDB,AUG,LHD-AMPHIB AUG,N,60,60,0,LHD-AMPHIBIOUS ASSAULT SHIP AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Jul 02 2093,Jul 02 2093,,7
5LKAA,USS,NOTIONAL LKA,N,368,0,0,LKA-AMPHIBIOUS CARGO SHIP,5,U,A,N00011,,NWP 11-1,,Oct 30 2081,Dec 17 2086,,7
5LKAB,AUG,LKA-AMPHIB AUG,N,27,27,0,LKA-AMPHIBIOUS CARGO SHIP AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Jul 02 2093,Jul 02 2093,,7
5LPD1,USS,LPD-CLASS 4,N,433,0,0,LPD-AMPH. TRANSPORT DK.(CL.4),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5LPDA,USS,NOTIONAL LPD,N,433,0,0,LPD-AMPH. TRANSPORT DOCK,5,U,A,N00011,,NWP 11-1 (REV A),,Oct 30 2081,Feb 11 2098,,7
5LPDB,AUG,LPD-AMPHIB AUG,N,11,11,0,LPD-AMPHIBIOUS TRANSPORT DOCK AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Jul 02 2093,Jul 02 2093,,7
5LPHA,USS,LPH-CLASS 2,N,725,0,0,LPH-AMPH. ASSAULT (CLASS 2),5,U,A,N00011,,NWP 11-1 (REV A),,Oct 30 2081,Feb 11 2098,,7
5LPHB,AUG,LPH-AMPHIB AUG,N,100,100,0,LPH-AMPHIBIOUS ASSAULT SHIP AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Jul 02 2093,Jul 02 2093,,7
5LPHG,AUG,LPH CLASS 2,N,55,55,0,LPH CLASS 2 PERS,3,U,A,N00011,,NAVAL RESERVE FORCE,,Dec 29 2086,Jul 17 2090,,7
5LSD1,USS,LSD-CLASS 36,N,379,0,0,LSD-LANDING SHIP DOCK (CL36),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5LSD3,USS,LSD CL 28/41,N,336,0,0,LSD-LANDING SHIP DOCK(CL28/41),5,U,A,N00011,,NWP11-1,,Dec 17 2086,Jun 23 2087,,7
5LSDA,USS,NOTIONAL LSD,N,379,0,0,LSD-LANDING SHIP DOCK,5,U,A,N00011,,NWP 11-1 (REV A),,Oct 30 2081,Feb 11 2098,,7
